epoch,iso,uptime_s,tctl,tccd1,tccd2,tccd3,tccd4,tccd5,tccd6,tccd7,tccd8,pkg_w,core_w,cpu_freq,load1,load5,load15,mem_used_gb,mem_avail_gb,nproc,g0_temp,g0_power,g0_mem_gb,g0_util,g1_temp,g1_power,g1_mem_gb,g1_util,g0_ecc_ce,g0_ecc_ue,g1_ecc_ce,g1_ecc_ue,g0_link,g1_link,topcpu
1788649551,2026-09-05T23:05:51+00:00,10061.29,43000,46500,45500,43250,42750,43500,49500,43250,44250,NA,NA,1500000,2.28,27.78,39.52,1003,863,112,38,9.84,2,0,42,15.32,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;95.9 opencode;41.1 vllm; 5.6 docker; 4.7 containerd; 2.1 powertrip-captu;"
1788649553,2026-09-05T23:05:53+00:00,10063.06,43250,49500,45000,43500,44750,43750,44250,42500,51500,204.82,0.88,1500000,2.28,27.78,39.52,1003,862,112,38,10.94,2,0,42,15.44,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 484 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649554,2026-09-05T23:05:54+00:00,10064.83,43000,51125,44750,43500,43750,43500,44500,42750,50000,181.32,0.41,1652615,2.18,27.33,39.32,1003,862,112,38,9.68,2,0,42,14.98,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 308 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649556,2026-09-05T23:05:56+00:00,10066.60,52000,51625,44000,44000,42000,44000,44500,42000,44000,178.33,0.47,2734796,2.18,27.33,39.32,1003,862,112,38,10.79,2,0,42,14.35,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 244 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649558,2026-09-05T23:05:58+00:00,10068.33,51500,51750,44750,43250,42500,44000,45000,44500,44500,177.94,0.51,1500000,2.18,27.33,39.32,1003,862,112,38,11.54,2,0,42,15.14,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 210 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649560,2026-09-05T23:06:00+00:00,10070.08,52500,51875,45000,44000,43000,43500,45750,42500,44250,181.60,0.47,1500000,2.72,27.03,39.15,1003,862,112,38,10.53,2,0,42,15.29,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 189 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649561,2026-09-05T23:06:01+00:00,10071.80,52250,52000,44500,44000,43250,43500,45250,42750,44500,177.49,0.38,2735154,2.72,27.03,39.15,1003,862,112,38,10.46,2,0,42,14.57,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 174 vllm;95.9 opencode; 4.7 containerd; 3.3 docker; 2.0 nvtop;"
1788649563,2026-09-05T23:06:03+00:00,10073.57,51500,52000,44500,43500,42750,43250,44750,43000,44000,179.48,0.40,1500000,2.72,27.03,39.15,1003,862,112,38,8.96,2,0,41,14.29,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 164 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649565,2026-09-05T23:06:05+00:00,10075.30,52750,51875,44500,43250,42750,45250,44250,42000,44500,168.15,0.37,1500000,2.75,26.63,38.96,1003,862,112,38,12.03,2,0,41,15.09,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 156 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649567,2026-09-05T23:06:07+00:00,10077.06,45500,51875,44250,44250,42750,43750,45000,43500,44250,175.31,0.39,1500000,2.75,26.63,38.96,1003,862,112,38,10.62,2,0,41,15.11,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 150 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649568,2026-09-05T23:06:08+00:00,10078.79,50500,51875,44500,43500,42750,43750,44750,43250,44250,194.56,0.77,1500000,2.75,26.63,38.96,1003,862,112,38,9.64,2,0,41,14.85,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 194 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649570,2026-09-05T23:06:10+00:00,10080.55,43750,51750,45250,43750,42750,44250,45750,43250,48500,183.11,0.50,1500000,2.77,26.23,38.77,1003,862,112,38,10.23,2,0,41,14.93,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 659 python3; 181 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649572,2026-09-05T23:06:12+00:00,10082.28,43750,51625,45000,44250,42500,44000,44750,42500,51500,190.92,0.73,2730981,2.77,26.23,38.77,1003,862,112,38,11.02,2,0,41,15.58,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 273 python3; 166 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649574,2026-09-05T23:06:14+00:00,10084.01,44000,51375,43750,43750,42500,43250,46000,42500,51000,180.40,0.42,1500000,2.77,26.23,38.77,1003,862,112,38,10.51,2,0,41,14.84,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 202 python3; 154 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649575,2026-09-05T23:06:15+00:00,10085.76,50000,51250,45250,44000,43000,43500,44250,43000,45500,178.46,0.47,1500000,2.71,25.83,38.57,1003,862,112,38,9.12,2,0,41,14.17,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 172 python3; 143 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649577,2026-09-05T23:06:17+00:00,10087.50,51500,51125,44750,43250,42500,43250,44750,43000,44250,186.13,0.46,1500000,2.71,25.83,38.57,1003,862,112,38,10.30,2,0,41,14.48,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 265 python3; 133 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649579,2026-09-05T23:06:19+00:00,10089.26,44000,51125,45500,43500,44250,44250,45500,44750,45000,210.09,0.83,2714792,2.71,25.83,38.57,1003,861,112,38,11.36,4,0,41,17.07,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 235 python3; 125 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649581,2026-09-05T23:06:21+00:00,10090.95,43250,51375,44750,43750,42750,43750,45000,42250,51500,176.90,0.39,1500000,2.81,25.47,38.38,1003,861,112,38,12.54,4,0,41,19.00,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 212 python3; 117 vllm;95.9 opencode; 4.7 containerd;"
1788649582,2026-09-05T23:06:22+00:00,10092.87,52250,51750,45000,43750,43250,43750,45250,43250,49750,205.49,0.47,1500000,2.81,25.47,38.38,1003,861,112,38,10.41,4,0,41,16.80,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 945 python3; 570 python3; 192 python3; 110 vllm;95.9 opencode;"
1788649584,2026-09-05T23:06:24+00:00,10094.78,44000,52125,45250,44750,43750,44250,45500,44000,46250,248.63,1.78,1500000,2.91,25.11,38.20,1003,861,112,38,9.91,4,0,41,16.76,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 105 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649586,2026-09-05T23:06:26+00:00,10096.64,45000,51500,44500,43500,44000,44000,45000,44500,44250,187.45,0.40,1500000,2.91,25.11,38.20,1003,862,112,38,13.03,4,0,41,20.18,4,0,[N/A],[N/A],[N/A],[N/A],1,2,"%CPU COMMAND; 104 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649588,2026-09-05T23:06:28+00:00,10098.48,54250,51250,47750,43750,47750,50000,45000,45750,52500,200.60,0.74,3418517,2.91,25.11,38.20,1003,861,112,38,13.81,4,0,41,21.42,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 922 python3; 614 python3; 104 vllm;95.9 opencode; 4.7 containerd;"
1788649590,2026-09-05T23:06:30+00:00,10100.21,45000,52000,45000,44000,43750,44000,45250,42750,49750,224.56,1.08,1500000,2.91,24.75,38.01,1003,861,112,38,10.39,4,0,41,14.43,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 104 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649592,2026-09-05T23:06:32+00:00,10101.97,44500,52875,45250,43750,47750,44250,45750,43750,53250,188.51,0.43,1500000,2.91,24.75,38.01,1003,861,112,38,11.09,4,0,41,14.82,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 104 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649593,2026-09-05T23:06:33+00:00,10103.72,44500,53125,45250,43750,43000,44250,45000,43250,51000,187.43,0.40,2715055,2.91,24.75,38.01,1003,861,112,38,10.27,4,0,41,15.34,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 103 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649595,2026-09-05T23:06:35+00:00,10105.45,43750,53250,45000,44250,44000,43500,46250,43750,48750,182.61,0.40,1497038,3.08,24.42,37.83,1003,861,112,38,10.20,4,0,41,14.67,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 103 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop;"
1788649597,2026-09-05T23:06:37+00:00,10107.20,44000,53125,45250,43750,44000,44250,45000,44750,49750,185.92,0.43,1500000,3.08,24.42,37.83,1003,861,112,38,9.80,4,0,41,14.38,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 103 vllm;95.9 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649599,2026-09-05T23:06:39+00:00,10108.94,52500,53125,45250,43250,44250,44250,46750,43000,44500,184.62,0.39,1500000,3.08,24.42,37.83,1003,861,112,38,10.49,4,0,41,14.22,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 103 vllm;96.0 opencode; 4.7 containerd; 2.0 nvtop; 1.7 dcgm-exporter;"
1788649600,2026-09-05T23:06:40+00:00,10110.69,43750,52875,44250,44000,43250,43750,45500,44250,50500,195.70,0.79,1769816,2.99,24.04,37.64,1003,861,112,38,11.31,4,0,41,15.40,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 407 python3; 400 ps;99.8 vllm;96.0 opencode; 4.7 containerd;"
1788649602,2026-09-05T23:06:42+00:00,10112.42,51500,52375,45000,44000,43500,44000,44500,44000,43750,177.44,0.43,1500000,2.99,24.04,37.64,1003,860,112,38,11.21,4,0,41,15.11,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 248 python3;96.5 vllm;96.0 opencode; 4.7 containerd; 2.0 nvtop;"
1788649604,2026-09-05T23:06:44+00:00,10114.19,52250,52375,44750,43750,44250,44000,44250,42500,44250,177.66,0.82,2734851,2.99,24.04,37.64,1003,860,112,38,10.00,4,0,41,14.96,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 197 python3;96.0 opencode;93.2 vllm; 4.7 containerd;"
1788649606,2026-09-05T23:06:46+00:00,10115.95,50500,52125,44250,43750,44250,44250,45000,42750,44000,180.61,0.44,3058351,2.99,23.70,37.45,1003,860,112,38,10.49,4,0,41,14.09,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 299 python3;96.0 opencode;90.3 vllm; 4.6 containerd; 2.0 nvtop;"
1788649607,2026-09-05T23:06:47+00:00,10117.69,48250,52000,45000,43250,42750,43750,46750,43250,44750,200.05,0.74,1494877,2.99,23.70,37.45,1003,860,112,38,12.01,4,0,41,14.84,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 257 python3;96.0 opencode;87.5 vllm; 4.6 containerd; 2.0 nvtop;"
1788649609,2026-09-05T23:06:49+00:00,10119.47,53750,52000,50500,50000,49750,50750,51750,49750,53250,202.69,0.61,3185314,3.16,23.38,37.28,1003,859,112,38,11.84,4,0,41,15.46,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 844 python3; 795 python3; 585 python3; 515 python3; 221 VLLM::EngineCor;"
1788649611,2026-09-05T23:06:51+00:00,10121.23,44750,52375,45250,43750,43250,43500,45500,50750,52000,239.68,2.44,1500000,3.16,23.38,37.28,1003,859,112,38,11.34,4,0,41,15.19,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps; 344 python3; 245 python3; 189 VLLM::EngineCor;96.0 opencode;"
1788649613,2026-09-05T23:06:53+00:00,10122.98,52750,52375,45500,43750,43500,44750,45000,43750,52000,190.78,0.47,1500000,3.16,23.38,37.28,1003,859,112,38,11.39,4,0,41,14.23,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 250 python3; 189 python3; 166 VLLM::EngineCor;96.0 opencode;80.1 vllm;"
1788649614,2026-09-05T23:06:54+00:00,10124.71,49250,52375,45250,43500,43250,43500,46500,43250,52500,198.23,0.76,1500000,3.14,23.05,37.09,1003,859,112,38,10.40,4,0,41,15.37,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 207 python3; 163 python3; 147 VLLM::EngineCor;95.9 opencode;77.9 vllm;"
1788649616,2026-09-05T23:06:56+00:00,10126.45,51750,52375,44750,46000,43250,44250,45500,43750,52750,188.97,0.53,1500000,3.14,23.05,37.09,1003,859,112,38,11.14,4,0,41,14.90,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 243 python3; 228 python3; 132 VLLM::EngineCor;95.9 opencode;75.8 vllm;"
1788649618,2026-09-05T23:06:58+00:00,10128.19,46500,52875,45500,44000,43750,44250,45000,43500,46250,213.26,0.65,1500000,3.14,23.05,37.09,1003,859,112,38,9.79,4,0,41,14.49,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 216 python3; 204 python3; 120 VLLM::EngineCor;95.9 opencode;73.8 vllm;"
1788649620,2026-09-05T23:07:00+00:00,10129.97,51750,53500,47500,48250,49250,45750,46500,44500,52750,252.60,1.42,1500000,3.45,22.78,36.93,1003,858,112,38,10.61,4,0,41,14.14,4,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 646 python3; 589 python3; 554 python3; 434 python3; 400 ps;"
1788649621,2026-09-05T23:07:01+00:00,10131.72,48750,53250,46000,44750,44250,45000,47500,43750,51000,224.19,3.42,1500000,3.45,22.78,36.93,1003,857,112,38,17.59,784,0,41,26.44,704,3,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND; 186 VLLM::Worker; 178 VLLM::Worker; 103 VLLM::EngineCor;95.9 opencode;70.4 vllm;"
1788649623,2026-09-05T23:07:03+00:00,10133.22,49500,53375,45250,44500,46750,44250,46000,44250,53000,191.59,0.97,2738907,3.45,22.78,36.93,1003,857,112,39,60.05,38376,1,42,60.44,40538,0,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND; 468 python3; 400 ps; 183 VLLM::Worker_TP; 175 VLLM::Worker_TP;96.4 VLLM::EngineCor;"
1788649624,2026-09-05T23:07:04+00:00,10134.73,47500,53500,47750,52000,48250,48000,48500,46000,51750,221.11,3.05,3291135,9.34,23.68,37.15,1003,856,112,39,59.81,40538,3,42,61.66,40538,0,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND; 561 VLLM::Worker_TP; 519 VLLM::Worker_TP; 273 python3;95.9 opencode;90.6 VLLM::EngineCor;"
1788649626,2026-09-05T23:07:06+00:00,10136.30,52000,53250,48250,48500,47500,47750,49250,47000,49250,266.89,1.87,3262801,9.34,23.68,37.15,1003,856,112,39,62.90,40538,1,42,68.64,40538,1,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND;1001 VLLM::Worker_TP; 948 VLLM::Worker_TP; 211 python3;95.9 opencode;85.4 VLLM::EngineCor;"
1788649627,2026-09-05T23:07:07+00:00,10137.87,53000,53125,51750,48250,48000,47500,49500,47250,48500,267.27,2.82,3268777,9.34,23.68,37.15,1003,856,112,40,64.35,40538,1,42,69.75,40538,1,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND;1365 VLLM::Worker_TP;1323 VLLM::Worker_TP; 600 ps; 181 python3;95.9 opencode;"
1788649629,2026-09-05T23:07:09+00:00,10139.47,49250,53125,50500,48000,48000,47500,49500,48000,51500,271.62,5.05,3266220,18.44,25.33,37.61,1003,856,112,40,64.23,40538,1,43,66.86,40538,1,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND;1673 VLLM::Worker_TP;1639 VLLM::Worker_TP; 164 python3;95.9 opencode;76.4 VLLM::EngineCor;"
1788649631,2026-09-05T23:07:11+00:00,10141.05,52000,53125,51000,49000,47750,47750,53000,48000,52250,268.26,2.22,3266216,18.44,25.33,37.61,1003,856,112,40,64.08,40538,1,43,68.67,40538,1,[N/A],[N/A],[N/A],[N/A],4,4,"%CPU COMMAND;1947 VLLM::Worker_TP;1913 VLLM::Worker_TP; 600 ps; 153 python3;95.9 opencode;"
