epoch,iso,uptime_s,tctl,tccd1,tccd2,tccd3,tccd4,tccd5,tccd6,tccd7,tccd8,pkg_w,core_w,cpu_freq,load1,load5,load15,mem_used_gb,mem_avail_gb,nproc,g0_temp,g0_power,g0_mem_gb,g0_util,g1_temp,g1_power,g1_mem_gb,g1_util,g0_ecc_ce,g0_ecc_ue,g1_ecc_ce,g1_ecc_ue,g0_link,g1_link,topcpu
1788645454,2026-09-05T21:57:34+00:00,5964.24,41250,44375,43750,41500,42000,41750,43000,41000,43500,NA,NA,1497025,2.92,1.81,1.22,1003,993,112,35,6.42,2,0,36,13.94,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.3 opencode; 2.7 powertrip-captu; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645455,2026-09-05T21:57:35+00:00,5965.83,41250,44250,42500,42750,41250,41250,42750,40000,41500,140.54,0.26,1500000,2.92,1.81,1.22,1003,993,112,35,7.45,2,0,36,14.24,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.3 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 powertrip-captu; 1.2 alloy;"
1788645457,2026-09-05T21:57:37+00:00,5967.39,40750,44000,42500,41000,40500,41000,42750,40500,41750,137.99,0.23,1500000,2.92,1.81,1.22,1003,993,112,35,7.38,2,0,36,14.58,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.3 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645459,2026-09-05T21:57:39+00:00,5968.95,41000,43875,42000,41250,40750,41500,42750,41750,42250,140.93,0.25,1500000,2.77,1.79,1.22,1003,993,112,35,7.80,2,0,36,14.84,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps;86.3 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645460,2026-09-05T21:57:40+00:00,5970.52,41250,44250,43000,43250,41000,42500,42750,40750,41500,147.01,0.73,2754715,2.77,1.79,1.22,1003,993,112,35,7.01,2,0,36,14.93,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps;86.4 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645462,2026-09-05T21:57:42+00:00,5972.08,40750,44125,42750,41250,40750,41000,42750,41000,41500,140.23,0.28,2374848,2.77,1.79,1.22,1003,993,112,35,6.59,2,0,36,14.48,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.4 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645463,2026-09-05T21:57:43+00:00,5973.66,40500,44000,42750,41250,40500,41000,43000,40250,41500,136.99,0.24,1469139,2.71,1.80,1.22,1003,993,112,35,7.13,2,0,37,14.37,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps;86.4 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645465,2026-09-05T21:57:45+00:00,5975.22,41250,43875,43000,41250,40500,41000,42750,39750,42500,137.30,0.25,1500000,2.71,1.80,1.22,1003,993,112,35,6.86,2,0,36,15.18,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.5 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645466,2026-09-05T21:57:46+00:00,5976.79,40750,43750,42750,40750,40500,42500,44500,40500,41750,142.02,0.26,1477776,2.71,1.80,1.22,1003,993,112,35,7.07,2,0,37,14.40,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps;86.5 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645468,2026-09-05T21:57:48+00:00,5978.34,40750,43875,42250,42250,40500,42000,42500,40250,41750,136.43,0.24,1500000,2.71,1.80,1.22,1003,993,112,35,6.64,2,0,37,14.77,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND; 400 ps;86.5 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy;"
1788645469,2026-09-05T21:57:50+00:00,5979.91,41000,44625,43000,41250,41000,41500,43000,42000,41500,152.38,0.97,1500000,2.73,1.82,1.23,1003,993,112,35,7.26,2,0,36,14.60,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.5 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645471,2026-09-05T21:57:51+00:00,5981.49,41000,44375,42750,42000,40000,42250,42750,40250,41750,138.00,0.23,2362476,2.73,1.82,1.23,1003,993,112,35,7.07,2,0,36,14.93,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.5 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645473,2026-09-05T21:57:53+00:00,5983.05,41000,44375,42250,41750,41250,41500,42500,40500,42250,139.18,0.31,2754781,2.73,1.82,1.23,1003,993,112,35,7.56,2,0,36,14.60,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.6 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645474,2026-09-05T21:57:54+00:00,5984.62,40750,44125,42250,41250,40250,41500,44750,40750,41500,140.51,0.37,2754679,2.75,1.84,1.24,1003,993,112,35,7.56,2,0,37,15.23,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.6 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645476,2026-09-05T21:57:56+00:00,5986.17,40750,44125,42500,42500,40500,42000,42500,40250,42750,137.33,0.71,1500000,2.75,1.84,1.24,1003,993,112,35,6.81,2,0,37,14.45,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.7 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
1788645477,2026-09-05T21:57:57+00:00,5987.73,41250,44375,42750,42250,41000,42250,43750,42750,42250,147.81,0.34,1497004,2.75,1.84,1.24,1003,993,112,35,7.62,2,0,37,14.11,2,0,[N/A],[N/A],[N/A],[N/A],1,1,"%CPU COMMAND;86.7 opencode; 1.6 dcgm-exporter; 1.5 nvtop; 1.2 alloy; 1.1 loki;"
